Date,BilledVolume,Rainfall,RainfallYesterday,RainfallTwoDaysAgo,RainfallThreeDaysAgo,RainfallTomorrow,MaxTemp,MaxTempYesterday,MaxTempTwoDaysAgo,MaxTempThreeDaysAgo,MaxTempTomorrow,month,weekend,MaxTemp_imp,Rainfall_imp,MaxTempYesterday_imp,RainfallYesterday_imp,MaxTempTwoDaysAgo_imp,RainfallTwoDaysAgo_imp,MaxTempThreeDaysAgo_imp,RainfallThreeDaysAgo_imp,MaxTempTomorrow_imp,RainfallTomorrow_imp
2015-01-01,452,2.15,3.02,2.15,0,0,20.06,28.435,28.435,25.27,39.63,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015-01-02,498,2.15,0.1,1.65,0,0,39.63,28.435,28.435,23.865000000000002,38.365,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2015-01-03,614,3.02,0,0.5599999999999999,0.1,3.02,38.365,39.63,25.61,23.865000000000002,24.26,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
2015-01-04,564,3.02,0.1,0.5599999999999999,0,0.16999999999999998,24.26,38.365,39.63,23.865000000000002,25.775,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
2015-01-05,481,0.16999999999999998,3.02,1.8,0,0,25.775,24.26,38.365,39.63,30.705,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2015-01-06,477,0,0.16999999999999998,3.02,0,0,30.705,25.775,24.26,38.365,38.56,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2015-01-07,532,0,0,0.16999999999999998,3.02,6.59,38.56,30.705,25.775,24.26,29.175,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-01-08,504,6.59,0,0,0.16999999999999998,1.44,29.175,38.56,30.705,25.775,17.325,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-01-09,403,1.44,6.59,0,0,11.23,17.325,29.175,38.56,30.705,20.285,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-01-10,335,11.23,1.44,6.59,0,0.18,20.285,17.325,29.175,38.56,27.495,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
