Month,monthlyBulk,NonRes,Res,rainfallData,tempData,Connections,Potable TopUp,Filling Stations,Unmeter Fire,NonRev,BulkForecast,ResForecast,NonResForecast,NonRevPred,,,
May-17,12481,2257,8623,33.45,16.27258065,607418,NA,NA,NA,NA,NA,NA,NA,NA,,,
Jun-17,11356,2042,8002,21.86,13.64233333,608426,NA,NA,NA,NA,NA,NA,NA,NA,,,
Jul-17,11800,2126,8429,35.64,13.4633871,609449,NA,NA,NA,NA,NA,NA,NA,NA,,,
Aug-17,11672,2146,8307,66.32,13.67129032,610551,NA,NA,NA,NA,NA,NA,NA,NA,,,
Sep-17,11474,2079,8098,50.51,16.76966667,611571,NA,NA,NA,NA,NA,NA,NA,NA,,,
Oct-17,12828,2367,9124,41.43,21.25596774,612548,NA,NA,NA,NA,NA,NA,NA,NA,,,
Nov-17,13993,2549,9968,41.03,26.26366667,613594,NA,NA,NA,NA,NA,NA,NA,NA,,,
Dec-17,14191,2569,9880,145.62,25.4883871,614319,NA,NA,NA,NA,NA,NA,NA,NA,,,
Jan-18,15805,2892,11054,69.94,28.88903226,615021,NA,NA,NA,NA,NA,NA,NA,NA,,,
Feb-18,14535,2736,10187,2.15,27.95767857,615960,NA,NA,NA,NA,NA,NA,NA,NA,,,
Mar-18,16167,2957,11061,34.49,25.59677419,617089,NA,NA,NA,NA,NA,NA,NA,NA,,,
Apr-18,13800,2512,9422,11.4,22.6545,618209,NA,NA,NA,NA,NA,NA,NA,NA,,,
May-18,12930,2306,8830,66.52,16.80258065,618277,NA,NA,NA,NA,NA,NA,NA,NA,,,
Jun-18,11588,2086,8118,68.89,13.46616667,619153,NA,NA,NA,NA,NA,NA,NA,NA,,,
Jul-18,11991,2138,8568,26.85,13.56451613,620071,NA,NA,NA,NA,NA,NA,NA,NA,,,
Aug-18,11990,2205,8562,48.94,14.15693548,619183,NA,NA,NA,NA,NA,NA,NA,NA,,,
Sep-18,11832,2200,8514,21.16,16.9695,620037,NA,NA,NA,NA,NA,NA,NA,NA,,,
Oct-18,13662,2541,9845,31.46,21.13322581,621090,NA,NA,NA,NA,NA,NA,NA,NA,,,
Nov-18,12753,2360,9152,104.8,21.87766667,621807,NA,NA,NA,NA,NA,NA,NA,NA,,,
Dec-18,13930,2578,10018,95.26,26.01419355,619205,NA,NA,NA,NA,NA,NA,NA,NA,,,
Jan-19,17535,3239,12550,16.3,31.02193548,619573,NA,NA,NA,NA,NA,NA,NA,NA,,,
Feb-19,14983,2868,10740,18.16,27.72035714,620356,100.7,7,15,1252.3,NA,NA,NA,NA,1252.3,1162.3,848.3
Mar-19,16917,3109,11630,23.85,26.18064516,620567,58.1,6.666666667,15,2098.233333,NA,NA,NA,NA,2098.233333,1503.233333,890.2333333
Apr-19,13971,2592,9624,14.11,22.07766667,620954,103.5,11,15,1625.5,NA,NA,NA,NA,1625.5,1198.5,936.5
May-19,13026,2390,8949,78.53,16.82177419,620286,119.8,10.66666667,15,1541.533333,NA,NA,NA,NA,1541.533333,1135.533333,1336.533333
Jun-19,12154,2234,8597,68.29,14.1465,620806,144.2,11.66666667,15,1152.133333,NA,NA,NA,NA,1152.133333,900.1333333,1960.133333
Jul-19,11871,2153,8420,51.56,13.63854839,621580,132.8,21,15,1129.2,NA,NA,NA,NA,1129.2,854.2,1857.2
Aug-19,12059,2245,8631,72.91,13.37903226,622556,144.4,25,15,998.6,NA,NA,NA,NA,998.6,869.6,1462.6
Sep-19,11653,2147,8355,62.13,16.872,623494,180.2,29,15,926.8,NA,NA,NA,NA,926.8,813.8,1475.8
Oct-19,12997,2443,9498,44.84,20.77225806,624492,255.4,18,15,767.6,NA,NA,NA,NA,767.6,764.6,1141.6
Nov-19,13406,2487,9634,71.86,21.85316667,626146,100.7,7,15,1162.3,NA,NA,NA,NA,,,
Dec-19,16365,2910,11872,9.27,26.17193548,626525,58.1,6.666666667,15,1503.233333,NA,NA,NA,NA,,,
Jan-20,15089,2754,11007,111.4,27.62129032,626691,103.5,11,15,1198.5,NA,NA,NA,NA,,,
